N,true_gamma,sim,prs_r2,wg_power,wg_gamma,wg_pval,pc_power,pc_gamma,pc_pval,cd_power,cd_gamma,cd_pval
5000,-0.1,97,0.0017774528709766898,0,-0.004024216508203785,0.6892093556573002,0,0.0003126034274526375,0.8728747135337818,0,-0.011195632131624816,0.42722546045281495
5000,-0.1,98,0.002068437355663821,0,0.006948785324681764,0.4895998009839172,0,0.000746903919458947,0.5620935028554218,0,-0.011645879568228485,0.42139392910593665
5000,-0.1,99,0.0005492235024080722,0,0.009957416531845068,0.31154702169310655,0,0.0012212059415165838,0.5136023208022855,0,0.01220192870737763,0.3771433475867546
5000,-0.1,100,0.0015473437677108591,0,0.008861630563915484,0.3645756651129647,0,-8.315941894300683e-05,0.17513692195609343,0,0.0011053299972983818,0.9352590821439888
5000,-0.1,101,0.0017419898263464901,0,0.0073137491626260485,0.4548628033752564,0,0.00014493826744558017,0.6206583674437176,0,0.005184173948503574,0.7092252960273913
5000,-0.1,102,0.0033238789407372916,0,-0.016329400764234,0.10624817595923776,1,-0.0007887674054387201,0.0465655461303115,0,-0.027086886940910455,0.05697086099533617
5000,-0.1,103,0.0029497200366902883,0,-0.003107448275032703,0.7619037334721583,0,-6.244456076998457e-05,0.26375653251916,0,-0.0012265753887494187,0.9305932941233437
5000,-0.1,104,0.00013864140170642293,0,0.013846425317505621,0.16465528336381355,0,0.0009391632642119493,0.5558907007218856,0,0.014077908999585186,0.32597288662398727
5000,-0.1,105,0.0009098837046139046,0,0.008961882542576013,0.3781338874228861,1,0.0005469482507579961,0.0009454797219792255,0,-0.006139308789487084,0.6651995409535407
5000,-0.1,106,0.0007511183965187294,1,0.03157458356237045,0.0018716968226178917,0,0.002749138133141403,0.44780556444869024,1,0.03219739707630797,0.022643384358682402
5000,-0.1,107,0.0009792205665277737,0,-0.0031240479117109303,0.7523501585718266,0,-0.0003835680385626746,0.36156226451921936,0,-0.012559540345568372,0.3674612285497382
5000,-0.1,108,0.0005642994651348199,0,-0.008784945122248918,0.3759320194518343,0,-0.0005462080585833722,0.9237625175103661,0,-0.005166621064642363,0.7162199653278567
5000,-0.1,109,0.0012401341539464426,0,0.008860522211802183,0.3958117213944722,0,0.0006235365751264425,0.3627133775350543,0,0.009357856148840897,0.5110110931178868
5000,-0.1,110,0.0018503864259009721,0,0.008647423636642,0.3926912256076357,0,0.001866159760065107,0.13411679576067348,0,0.0049406960559539755,0.7265277140195509
5000,-0.1,111,0.004071589392224235,0,-0.003202568077850295,0.7434412461832722,0,-0.0005371892819931688,0.4086431994329309,0,-0.007657637979569441,0.5801508577340986
5000,-0.1,112,0.00132582287051369,0,0.011110563322072232,0.2693085723618267,0,0.0009449804088385302,0.5075610289150496,0,-0.015862569478936578,0.25737217986875693
5000,-0.1,113,0.0010954089211436993,0,0.0061700157555952565,0.5357442778074915,0,0.0009987027939956023,0.9083169638363824,0,-0.006893873072187043,0.6247835955959687
5000,-0.1,114,0.0016067429793577496,0,0.004401378853051133,0.6535651905245297,0,0.0002042955276667602,0.07268291648476677,0,-0.017119492106831218,0.21835831372718625
